,number,name
0,AAAS89,Year Seminar (Top)
1,AAAS102,Amer St
2,AAAS103, Intro To African Studies
3,AAAS104, Intro To Latino/A Studies
4,AAAS134, Old Worlds/New Histories
5,AAAS140, Introduction To Jazz
6,AAAS190, Special Topics
7,AAAS209,Brazil Culture/Hst
8,AAAS218,1700
9,AAAS225, Documenting Black Experiences
10,AAAS228, Fictions That Mark The Moment
11,AAAS242," Race, Gender, And Sexuality"
12,AAAS243, Civil Rights Movement
13,AAAS247, Social Movements/Social Media
14,AAAS261," Race, Genomics, And Society"
15,AAAS269, Black Gods And Kings
16,AAAS271, Humanitarianism In Africa
17,AAAS274, Islam In The Americas
18,AAAS290, Special Topcs
19,AAAS310, Conflict Analysis In Africa
20,AAAS316,Africa/Democracy
21,AAAS322, Toni Morrison
22,AAAS325,Hop Production
23,AAAS337, Hollywood And Africa
24,AAAS338, Images Of Black Masculinity
25,AAAS341, Race In Durham
26,AAAS345, Mass Incarceration/Citizenship
27,AAAS346, Racial Justice: Us & S Africa
28,AAAS352, Pigging Out: Cultural Pol/Food
29,AAAS390, Special Topics
30,AAAS409, Cap Sem: Age Of Jim Crow
31,AAAS491, Independent Study
32,AAAS493, Research Independent Study
33,AAAS495, Distinction Program Seq
34,AAAS531, Black Camera
35,AAAS622, Black Sonic
36,AAAS640, African Cities
37,AAAS641, Citizen/Subject:Neoliberal Age
38,AAAS642, Global Inequality Research
39,AAAS690, Special Topics
40,AAAS892, Independent Study
41,ACCOUNTG501, Financial Accounting Review
42,ACCOUNTG590, Financial Accounting
43,ACCOUNTG591, Managerial Accounting
44,ACCOUNTG592, Detecting Earnings Management
45,ACCOUNTG596,Mergers/Acquisitions
46,ACCOUNTG597, Financial Statement Anly
47,ACCOUNTG598, Valuation/Fundamen Analy
48,AEROSCI99, Leadership Laboratory
49,AEROSCI101, Foundations Us Air Force
50,AEROSCI201, Evol Us Air/Space Power
51,AEROSCI401, Defense Studies
52,AMES89,Year Seminar (Top)
53,AMES114, Buddhism
54,AMES142, History Of Chinese Medicine
55,AMES184, Gendering War: Middle East
56,AMES208, Geopolitics And Culture
57,AMES214, Music In East Asia
58,AMES220,Qaeda To Isis
59,AMES222, Syrian And Iraqi Revolutions
60,AMES223, History And Culture Of Iran
61,AMES227, The Modern Middle East
62,AMES230, Islam In The Americas
63,AMES231, Migrant China
64,AMES232, Chinese Lit/Cult In Translatn
65,AMES234, Shanghai
66,AMES239, China And The Silk Roads
67,AMES251, Indian Cinema
68,AMES257, Indian Civilization
69,AMES258, Gandhi: Image And Reflection
70,AMES261, Japanese Cinema
71,AMES262, Contemp Japanese Vis Culture
72,AMES269, Emergence Of Modern Japan
73,AMES302," Hashtags Memes,Digital Tribes"
74,AMES328, Literary Islam
75,AMES332, Storyworlds
76,AMES351, Atheism And Buddhism
77,AMES361, Anime: Forms And Mutations
78,AMES373,Ind/East
79,AMES375, Middle East And Latin America
80,AMES390,Adm Study Abr: Adv Top
81,AMES391, Independent Study
82,AMES415, Interethnic Intimacies
83,AMES422, Middle East Women Writers
84,AMES439, Queer China
85,AMES440, Games And Culture
86,AMES471, World Of Korean Cinema
87,AMES475, North Korea
88,AMES493, Research Independent Study
89,AMES495, Collaborative Research
90,AMES498, Senior Honors Thesis Seminar
91,AMES503, Asian & Middle Eastern Studies
92,AMES515, Interethnic Intimacies
93,AMES528, Literary Islam
94,AMES535, Chinese Media & Pop Culture
95,AMES539, Queer China
96,AMES561, Anime: Forms And Mutations
97,AMES593, Research Independent Study
98,AMES605, East Asian Cultural St
99,AMES631, Modern Chinese Cinema
100,AMES661, Japanese Cinema
101,AMES671, World Of Korean Cinema
102,AMES695, Collaborative Research
103,AMES740, Critical Genealogies
104,AMES771, Topics In Classical Japanese
105,AMI89, First Year Seminar (Top)
106,AMI101, Intro Arts Of The Moving Image
107,AMI201, Intro To Film Studies
108,AMI202, History Of Documentary Film
109,AMI205, Contemporary Documentary Film
110,AMI209, Film Noir
111,AMI210, Film Genres
112,AMI214, Documenting Black Experiences
113,AMI224, Writing The Tv Drama Series
114,AMI230," Sound,Music, & Moving Image"
115,AMI246, Social Movements/Social Media
116,AMI250, American Immigrant Experiences
117,AMI253, Indian Cinema
118,AMI255, Japanese Cinema
119,AMI256, World Of Korean Cinema
120,AMI260, Anime: Forms And Mutations
121,AMI273, Religion And Film
122,AMI290, Special Topics In Film Studies
123,AMI301, Moving Image Practice
