,number,name,code
0,AAAS89S,First-Year Seminar,[]
1,AAAS102,Introduction to African and African American Studies,"['CCI', 'CZ', 'SS']"
2,AAAS103,Introduction to African Studies (DS3 or DS4),"['ALP', 'CCI', 'CZ']"
3,AAAS104,Introduction to Latino/a Studies in the Global South,"['ALP', 'CCI', 'SS']"
4,AAAS104S,Introduction to Latino/a Studies in the Global South,"['ALP', 'CCI', 'SS']"
5,AAAS109S,African Mbira Music: An Experiential Learning Class,"['ALP', 'CCI', 'CZ']"
6,AAAS133S,Gateway Seminar: Civil Rights and Asian Americans,"['CCI', 'CZ', 'EI', 'R', 'SS']"
7,AAAS134,"Old Worlds/New Histories, 500-1500 CE","['CCI', 'CZ', 'SS']"
8,AAAS140,Introduction to Jazz,"['ALP', 'CCI']"
9,AAAS140D,Introduction to Jazz,"['ALP', 'CCI']"
10,AAAS190,Special Topics,[]
11,AAAS190A,Duke-Administered Study Abroad: Special Topics in African and African-American Studies,[]
12,AAAS190FS,Focus Program Seminars: Special Topics,[]
13,AAAS190S,Special Topics,[]
14,AAAS206,Africans in America to the Civil War,"['CCI', 'CZ', 'EI']"
15,AAAS207,African Americans Since the Civil War,"['CCI', 'CZ', 'EI']"
16,AAAS209,Afro-Brazilian Culture and History,"['CCI', 'CZ', 'R']"
17,AAAS210,Modern Africa,"['CCI', 'CZ', 'SS']"
18,AAAS212,"Europe’s Colonial Encounter, 1492-1992","['CCI', 'CZ', 'EI']"
19,AAAS213,Global Brazil,"['CCI', 'CZ', 'SS']"
20,AAAS214,"South African History, 1870 to the Present","['CCI', 'CZ', 'EI', 'SS']"
21,AAAS215S,"Slave Society in Colonial Anglo-America: The West Indies, South Carolina, and Virginia","['CCI', 'CZ', 'R']"
22,AAAS217S,The Atlantic Slave Trade,"['CCI', 'CZ', 'R']"
23,AAAS218,"The Caribbean, 1492-1700","['CCI', 'CZ']"
24,AAAS219,The Caribbean in the Eighteenth Century,"['CCI', 'CZ']"
25,AAAS220SL,West African Rootholds in Dance,"['ALP', 'CCI', 'CZ']"
26,AAAS221SL,Capoeira: Practice and Culture,"['ALP', 'CCI', 'SS', 'W']"
27,AAAS222,Dance and Religion in Asia and Africa,"['ALP', 'CCI', 'CZ']"
28,AAAS223,African American Literature,"['ALP', 'CCI', 'R']"
29,AAAS224,African American Literature,['ALP']
30,AAAS225S,Documenting Black Experiences,"['ALP', 'CCI']"
31,AAAS226,Crime and the City from Dickens to The Wire,"['ALP', 'CCI', 'EI', 'SS']"
32,AAAS226D,Crime and the City from Dickens to The Wire,"['ALP', 'CCI', 'EI', 'SS']"
33,AAAS227,African American Art,"['ALP', 'CCI', 'CZ', 'R']"
34,AAAS228S,Fictions That Mark the Moment,"['ALP', 'CCI', 'CZ', 'EI', 'R']"
35,AAAS229,Contemporary Performance,"['ALP', 'R']"
36,AAAS230,The South in Black and White,"['ALP', 'CCI', 'CZ']"
37,AAAS231S,Freedom Stories: Documenting Southern Lives and Writing,"['ALP', 'CCI', 'CZ']"
38,AAAS236S,Civil/Human Rights Activism: In the Spirit of Pauli Murray,"['ALP', 'CCI', 'CZ', 'R']"
39,AAAS240,The Modern Caribbean after Emancipation,"['CCI', 'CZ']"
40,AAAS241,"Gender, Race, and Ethnicity in Politics and Public Policy",['SS']
41,AAAS241S,"Documenting Black: Tales Along the Color Line, 1865-2004","['ALP', 'CCI', 'CZ']"
42,AAAS242S,"Race, Gender, and Sexuality","['CCI', 'SS']"
43,AAAS243,The Civil Rights Movement,"['CCI', 'CZ', 'EI', 'SS']"
44,AAAS244,Racial and Ethnic Economic Inequality: A Cross National Perspective,"['CCI', 'EI', 'SS']"
45,AAAS245S,"Activism, Women, and Danger: Documenting Race, Gender and Activism in the American South","['CCI', 'EI', 'R', 'SS']"
46,AAAS246,Comparative Race and Ethnic Studies,"['CCI', 'EI', 'R', 'SS']"
47,AAAS247S,Social Movements and Social Media.,"['ALP', 'CCI', 'CZ', 'EI', 'STS']"
48,AAAS249,Martin Luther King and the Prophetic Tradition,"['CCI', 'CZ', 'EI', 'R', 'SS']"
49,AAAS251,The Anthropology of Race,"['CCI', 'EI', 'SS']"
50,AAAS257,Introduction to Racial and Ethnic Minorities in American Politics,"['CCI', 'SS']"
51,AAAS257D,Introduction to Racial and Ethnic Minorities in American Politics,"['CCI', 'SS']"
52,AAAS260,United States Racial/Ethnic Health Disparities: Social Determinants and Public Policy Implications,"['CCI', 'R', 'SS']"
53,AAAS261D,"Race, Genomics, and Society","['EI', 'NS', 'SS', 'STS']"
54,AAAS263,"Black Europe: Race, Ethnicity and Diaspora in Contemporary Europe","['CCI', 'CZ', 'EI', 'SS']"
55,AAAS269,Black Gods and Kings: Priests and Practices of the Afro-Atlantic Religions,"['CCI', 'CZ', 'EI', 'SS']"
56,AAAS270,Religion in Black America,"['CCI', 'CZ']"
57,AAAS270S,Religion in Black America,"['CCI', 'CZ']"
58,AAAS271,Humanitarianism in Africa,"['CCI', 'CZ', 'EI']"
59,AAAS274S,Islam in the Americas,"['CCI', 'CZ', 'SS', 'W']"
60,AAAS276,Religion and Race,"['CCI', 'CZ', 'SS']"
61,AAAS280,"Race, Ethnicity and Citizenship","['CCI', 'SS']"
62,AAAS290,Special Topics,[]
63,AAAS290-1,Special Topics in Performance,[]
64,AAAS290-3,Special Topic in an Individual African American Author,[]
65,AAAS290-4,Special Topics in African American Literary Genres,[]
66,AAAS290A,Duke-Administered Study Abroad: Advanced Special Topics in African and African American Studies,[]
67,AAAS290S,Special Topics,[]
68,AAAS307,Development and Africa,"['CCI', 'CZ', 'SS']"
69,AAAS310,African American Women and History,"['CCI', 'CZ']"
70,AAAS310S,Conflict Analysis in Africa (case studies),"['CCI', 'CZ', 'SS']"
71,AAAS312,War and Public Health in Africa,"['CCI', 'CZ', 'EI', 'SS']"
72,AAAS315,"Africa, Youth and Democracy","['CCI', 'R', 'SS']"
73,AAAS316S,Apartheid South Africa and the Struggles for Democracy,"['CCI', 'CZ', 'EI', 'R', 'SS']"
74,AAAS320,Black Dance,"['ALP', 'CCI', 'R', 'W']"
75,AAAS321,Visualizing the Caribbean,"['ALP', 'CCI', 'R', 'SS']"
76,AAAS324S,Social Facts and Narrative Representations,['ALP']
77,AAAS329,The Black Atlantic,"['ALP', 'CCI', 'CZ']"
78,AAAS330,Film and the African Diaspora,"['ALP', 'CCI', 'SS']"
79,AAAS331,Black Popular Culture,"['CCI', 'CZ']"
80,AAAS332,Black Theater Workshop,"['ALP', 'CCI']"
81,AAAS333S,The Wire,"['CCI', 'EI', 'SS']"
82,AAAS334,Sampling Soul,"['ALP', 'CCI', 'EI', 'SS']"
83,AAAS335,The History of Hip-Hop,"['ALP', 'CCI']"
84,AAAS336,Michael Jackson and Performance of Blackness,"['ALP', 'CCI']"
85,AAAS337,Hollywood and Africa: Case Studies in Filmic Representation,"['ALP', 'CCI']"
86,AAAS338,Popular Representations of Black Masculinity,"['ALP', 'CCI']"
87,AAAS340,Culture and Politics in Africa,"['CCI', 'CZ', 'SS']"
88,AAAS341S,Race in Durham,"['CCI', 'R', 'SS']"
89,AAAS343,Displacements: Migration and Human Trafficking,"['ALP', 'CCI', 'EI', 'R', 'SS']"
